portal.uea.ac.uk/arm/people,"[['people', 'the', 'hub', 'uea']]"
portal.uea.ac.uk/planningoffice/people/profile/list/all/io,"[['people', 'the', 'hub', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/programme-specifications,"[['programme', 'specifications', 'uea']]"
portal.uea.ac.uk/en/prizesandawards,"[['prizes', 'and', 'awards', 'uea']]"
portal.uea.ac.uk/arm/uea-vision/small-world-big-scope,"[['small', 'world', 'big', 'scope', 'uea']]"
portal.uea.ac.uk/learning-technology/new-ways-to-engage/online-reading-lists/reading-lists-get-started,"[['reading', 'lists', 'get', 'started', 'uea']]"
portal.uea.ac.uk/postgraduate-research/strategy,"[['information', 'for', 'pgr', 'supervisors', 'uea']]"
portal.uea.ac.uk/planningoffice/sro/payment-instructions,"[['payment', 'instructions', 'uea']]"
portal.uea.ac.uk/library/non-book-media,"[['non', 'book', 'media', 'uea']]"
portal.uea.ac.uk/postgraduate-research/concessions,"[['circumstances', 'affecting', 'pgr', 'studies', 'concessions', 'uea']]"
portal.uea.ac.uk/faculty-school-intranets,"[['faculty', 'and', 'school', 'intranets', 'uea']]"
portal.uea.ac.uk/planningoffice/tuition-fees,"[['tuition', 'fees', 'and', 'other', 'charges', 'uea']]"
portal.uea.ac.uk/accommodation/faq,"[['faqs', 'uea']]"
portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/installation-of-powered-door-openers,"[['installation', 'of', 'powered', 'door', 'openers', 'latest', 'news', 'uea']]"
portal.uea.ac.uk/estates/grounds/gallery,"[['image', 'gallery', 'uea']]"
portal.uea.ac.uk/itservices/support,"[['contact', 'it', 'services', 'uea']]"
portal.uea.ac.uk/uss/intranet/safety-subjects/fire/peep,"[['personal', 'emergency', 'evacuation', 'plans', 'uea']]"
portal.uea.ac.uk/arm/uea-vision/horizon-scanning,"[['horizon', 'scanning', 'uea']]"
portal.uea.ac.uk/en/csed/e-learning,"[['e', 'learning', 'mandatory', 'training', 'uea']]"
portal.uea.ac.uk/library/research-reserve,"[['library', 'research', 'reserve', 'uea']]"
portal.uea.ac.uk/campuskitchen/feedback,"[['feedback', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/workshops/academic-skills-spring,"[['academic', 'skills', 'workshops', 'spring', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/staff/teaching,"[['teaching', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/disability/equipment-and-software,"[['equipment', 'and', 'software', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/workshops/academic-skills-autumn,"[['academic', 'skills', 'workshops', 'autumn', 'uea']]"
portal.uea.ac.uk/postgraduate-research/postgraduate-research-personal-and-professional-development-module-catalogue,"[['ppd', 'online', 'directory', 'uea']]"
portal.uea.ac.uk/library/subject-guides/economics,"[['resources', 'for', 'economics', 'uea']]"
portal.uea.ac.uk/library/subject-guides/natural-sciences,"[['natural', 'sciences', 'uea']]"
portal.uea.ac.uk/estates/post-and-portering/for-students,"[['post', 'and', 'parcels', 'uea']]"
portal.uea.ac.uk/estates/access-and-security/staff-access,"[['access', 'for', 'staff', 'uea']]"
portal.uea.ac.uk/student-support-service/money-matters/hardship-funds/vice-chancellor,"[['vice', 'chancellor', 'loan', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/staff/forms,"[['forms', 'uea']]"
portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/estates-improvements-we-ve-made-ready-for-your-arrival,"[['estates', 'improvements', 'we', 'made', 'ready', 'for', 'your', 'arrival', 'latest', 'news', 'uea']]"
portal.uea.ac.uk/arm/alumni-conferences-and-events/events,"[['events', 'uea']]"
portal.uea.ac.uk/csed/staff-networks/uea-staff-association,"[['uea', 'staff', 'association', 'uea']]"
portal.uea.ac.uk/csed/resources/introductory-morning-evaluation,"[['introductory', 'morning', 'evaluation', 'uea']]"
portal.uea.ac.uk/postgraduate-research/events,"[['pgr', 'events', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/study-resources/academic-writing-study-skills/lectures-and-seminars,"[['lectures', 'and', 'seminars', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/appointments,"[['tutorials', 'uea']]"
portal.uea.ac.uk/student-support-service/disability,"[['disability', 'uea']]"
portal.uea.ac.uk/procurement/policies-and-strategy,"[['policies', 'and', 'strategy', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students/modules-and-courses,"[['modules', 'and', 'courses', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/by-car/car-security,"[['car', 'security', 'uea']]"
portal.uea.ac.uk/library/floor-guide,"[['floor', 'guide', 'and', 'plans', 'uea']]"
portal.uea.ac.uk/academic-calendar/faculty-structure,"[['faculty', 'structure', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/programme-specifications/mth,"[['mathematics', 'uea']]"
portal.uea.ac.uk/accommodation/contact-us/complaints-procedure,"[['complaints', 'procedure', 'uea']]"
portal.uea.ac.uk/catering/cafes-and-restaurants/street-food,"[['street', 'food', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/disability,"[['disability', 'uea']]"
portal.uea.ac.uk/finance/payroll/guide-to-ir35/psc,"[['guide', 'to', 'ir', 'psc', 'uea']]"
portal.uea.ac.uk/student-support-service/money-matters/other-information/frequently-asked-questions,"[['frequently', 'asked', 'questions', 'uea']]"
portal.uea.ac.uk/en/staff-mobility/teaching-staff-mobility,"[['teaching', 'staff', 'mobility', 'uea']]"
portal.uea.ac.uk/estates/building-management,"[['building', 'management', 'uea']]"
portal.uea.ac.uk/en/csed/rs-connect,"[['rs', 'connect', 'uea']]"
portal.uea.ac.uk/planningoffice/sro/special-delivery-options,"[['special', 'delivery', 'options', 'uea']]"
portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/summer-movies-2017,"[['summer', 'moves', 'latest', 'news', 'uea']]"
portal.uea.ac.uk/web/hub/library/e-resources/ezproxy/uea,"[['uea', 'staff', 'and', 'students', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-invited-guests,"[['parking', 'for', 'invited', 'guests', 'uea']]"
portal.uea.ac.uk/dos/international-students,"[['international', 'students', 'uea']]"
portal.uea.ac.uk/finance/payroll/entertainment,"[['tax', 'guidelines', 'for', 'entertainment', 'uea']]"
portal.uea.ac.uk/c/portal/login,"[['portal', 'uea']]"
portal.uea.ac.uk/uss/intranet/safety-subjects/accident,"[['accident', 'and', 'ill', 'health', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/public-transport/first-bus-mtickets,"[['uea', 'first', 'bus', 'mtickets', 'uea']]"
portal.uea.ac.uk/learning-technology,"[['learning', 'technology', 'uea']]"
portal.uea.ac.uk/accommodation/living-in-residences/faqs,"[['faqs', 'uea']]"
portal.uea.ac.uk/arm/uea-vision/research-power,"[['research', 'power', 'uea']]"
